Hour,Month,WindSpeed,WindDir,Rain,Power
5,5,4.5,NE,0,16.1
16,10,9.8,WSW,0,39.9
2,2,3.1,NE,0,6
9,1,1.3,ENE,0,36.6
22,5,0.9,SW,0,3.4
11,9,7.2,N,0,38.1
5,7,1.8,N,0,28.6
13,8,11.2,W,0,49.2
4,2,0.4,E,0,4.9
1,1,4,NE,0,40.4
8,3,2.2,NE,0,0.2
20,10,1.8,NE,0,0.1
21,8,0.9,NW,0,0
14,3,5.8,SSW,0,40.5
7,12,3.1,SSW,0,16.9
8,3,2.7,NNE,0,3
3,7,1.8,NE,0,0
20,6,0,ENE,0,0.6
3,11,4,WSW,0,29.1
6,8,12.1,NNE,0,48.3
18,12,3.1,SW,0,8.2
3,1,0.9,N,0,12.6
4,10,2.2,NE,0,7.1
5,7,0.9,NE,0,2.1
8,8,10.7,N,0,47.4
12,11,6.3,NNW,0,50.5
7,5,2.2,NE,0,45.9
7,9,4,NE,0,27.5
21,1,0.4,NNE,0,0
1,3,1.3,SSW,0,0.1
10,6,3.1,NNW,0,24.2
16,10,3.1,NNE,0,0.2
3,8,11.6,N,0,44.9
5,7,10.7,W,0,42.2
19,4,0.4,SW,0,1.4
10,6,4.9,NE,0,13.5
21,6,0.4,WNW,0,0
13,7,1.8,N,0,11.2
17,10,11.6,NE,0,40.1
0,1,0.9,NNE,0,23.1
14,8,6.3,WSW,0,33.8
23,8,6.7,WSW,0,45.7
11,3,1.8,ESE,0,17.9
3,6,1.8,NE,0,4.1
15,1,5.4,SW,0,42.8
16,12,1.3,SW,0,0
21,2,0.4,ESE,0,28.5
2,1,3.1,NNE,0,12.4
16,3,3.1,WSW,0,9.6
19,6,1.8,W,0,5.2
4,6,4.9,NNE,0,12.1
8,12,2.2,ENE,0,8.9
12,8,7.2,NNW,0,47.7
21,8,2.2,NE,0,0.1
17,9,4,SW,0,41.9
19,9,0.9,NNE,0,1.5
13,3,4,NNE,0,11.1
5,7,6.7,NW,0,40
2,8,6.3,WSW,0,36.7
23,5,0.4,SW,0,23.5
23,7,1.8,N,0,37.7
5,9,0.9,NNE,0,13.6
13,11,5.8,NNE,0.2,24.7
8,9,1.8,NE,0,4
18,5,2.7,SW,0,2.1
22,11,2.7,SW,0,35
7,8,0.9,ENE,0,1.4
6,3,2.7,WSW,0,38.4
1,5,8.9,W,0,52.5
2,5,1.8,NE,0,10.6
9,6,5.8,NE,0,30.5
15,2,7.6,WSW,0,50
8,3,0.9,ENE,0,0.2
0,4,0,NNE,0,4.5
8,11,4.5,NE,0,0.2
11,2,2.2,E,0,21
23,1,2.7,SSW,0,17.1
3,7,1.8,N,0,37.9
16,4,4,NNE,0,0
4,12,2.2,NE,0,40.2
22,5,6.7,WSW,0,47.5
22,10,0,SW,0,1.4
22,6,0.9,SSW,0,13.6
14,3,11.6,WSW,0,25.6
22,9,3.1,NE,0,17.2
2,4,0,SSW,0,6
23,1,0.4,N,0,7.9
23,8,2.7,SW,0,28.4
4,1,0.4,N,0,5.3
17,4,1.3,SW,0,0.1
5,4,2.2,NE,0,34.9
19,7,3.1,W,0,17
0,8,4.9,W,0,32.7
20,12,1.8,SE,0,48.4
22,8,6.3,WSW,0,45.1
1,1,1.8,NNE,0,26.8
9,5,0,---,0,8.9
7,3,2.7,NE,0,15.1
3,1,1.3,NE,0,27.6
6,11,2.7,NE,0,5.3
0,4,0,SSE,0,6.1
9,7,5.8,NNW,0,23.4
16,5,2.2,W,0,0.2
16,7,3.6,NW,0,6.3
23,6,2.2,ENE,0,13.6
20,5,4,N,0,30.3
12,10,1.8,E,0,0.1
0,6,4,NE,0,42.1
0,2,2.7,SW,0,24.4
18,12,5.4,SSW,0,16.9
19,12,0.9,ESE,0,7.9
22,11,0.4,SW,0,0
15,10,0.9,E,0,0.2
16,1,6.7,W,0,38.7
14,1,2.2,S,0,5.1
20,8,8,WSW,0,46.2
3,4,2.2,WSW,0,30
23,10,0.4,NNE,0,34.1
8,1,3.6,SSW,0,13.9
3,12,2.7,NE,0,48.6
7,4,3.6,NE,0,36.9
4,5,11.6,W,0,50.9
13,6,4,NE,0,0.3
13,2,2.2,NE,0,1.1
20,11,2.2,SSW,0,30.8
21,10,0,SSW,0,5.4
8,5,1.8,NNW,0,3
21,3,1.8,SW,0,0.3
2,4,0.4,NNE,0,2
7,3,0,---,0,0.1
13,7,6.3,NE,0,18.9
11,3,5.4,SSW,0,41.8
21,4,1.8,ENE,0,49.2
21,3,2.7,SW,0,22.8
17,2,3.1,SSW,0,1.3
21,12,1.8,NE,0,5.3
21,8,7.6,WSW,0.2,52.7
5,12,1.3,NE,0,22.7
6,8,2.7,NE,0,0
1,8,0,S,0,8.1
0,9,0.4,NE,0,1.9
4,5,0,SW,0,0.2
7,5,4,WSW,0,50.7
10,6,1.8,NE,0,0
2,3,0,---,0,5.6
2,8,3.1,WNW,0,18.9
3,2,0,---,0,0
17,12,4.9,NW,0,19.9
6,10,0.9,SE,0,1.8
0,4,1.3,SE,0,0
12,11,4.9,NNE,0,4.2
18,6,1.3,NNW,0,0.1
9,6,3.1,ENE,0,17.6
4,10,0.4,ENE,0,30.2
5,9,4.9,WSW,0,20.5
23,9,0.4,SE,0,19.8
19,2,0.9,ESE,0,21.4
9,7,4.5,NE,0,33.6
18,8,6.7,SW,0,38.8
3,8,0.9,NE,0,0.2
1,5,4.5,NE,0,42.7
10,1,0.9,SSE,0,0
10,1,4.5,NNW,0,20.6
6,10,3.6,NE,0,24
2,8,4.9,NE,0,22.1
3,3,0,WSW,0,0
1,2,0.9,NE,0,3.5
20,9,4.5,WSW,0,51.7
10,1,2.2,E,0,34.3
1,3,1.8,ESE,0,41.1
23,1,0,SSW,0,0.3
0,9,1.3,NE,0,-0.1
14,7,12.5,NW,0,43.3
4,10,2.2,SSE,0,28.6
10,3,5.8,SSW,0,38
17,4,4,WSW,0,27.9
12,7,8,W,0,50.6
8,10,0.9,ESE,0,24.8
9,5,6.3,W,0,34.9
14,4,2.7,NE,0,3.8
20,3,0.4,ENE,0,0
4,5,3.6,N,0,44.2
0,8,8.9,WSW,0,50.9
1,5,2.7,SW,0,34.3
18,5,4.9,NNE,0,6.4
23,8,0,NNE,0,2.8
19,1,3.1,SW,0,14.1
11,7,8.9,W,0,36.1
19,1,2.2,SSE,0,46.5
16,4,8.9,NNE,0,41.4
18,7,11.6,W,0,40.9
9,4,6.3,NE,0,18.3
8,7,3.6,W,0,14.7
13,10,3.1,NE,0,0.1
2,10,1.3,ESE,0,1.1
9,1,4.5,NNE,0,0.3
15,12,5.4,NNW,0,31.5
21,4,2.2,NE,0,9.4
21,2,0.4,ESE,0,6.1
9,4,1.8,NE,0,0.1
9,8,2.7,NE,0,23.8
5,11,1.3,NE,0,0.7
10,9,4,WSW,0,12.4
4,6,1.8,SSW,0,3.8
23,3,0.9,SSW,0,3.8
14,8,6.7,W,0,34.8
0,1,1.8,ESE,0,6.6
13,8,2.7,NW,0,2.6
17,3,0.4,ESE,0,0.3
1,3,0.4,SSW,0,0.1
18,9,0.9,NE,0,3.8
6,12,0.4,E,0,3
8,7,8.9,W,0,36.9
12,9,6.7,W,0,48.8
8,7,0,WSW,0,0.9
7,7,1.3,NE,0,42.1
1,12,1.3,SW,0,6
4,4,0.4,NE,0,10.3
14,6,2.2,NE,0,0
23,6,1.8,N,0,21.8
9,9,4.5,WSW,0,15.8
16,12,4.5,SW,0,19.9
11,3,5.8,SW,0,29.5
23,8,0,---,0,5.4
17,10,3.1,SSW,0,14.5
2,10,0,NE,0,11.3
20,11,1.8,NW,0,31.3
20,7,0.4,N,0,15.2
0,2,0.9,SSW,0,0.1
21,8,5.8,W,0,52.5
1,3,3.6,NE,0,26.4
13,10,3.1,NNW,0,0.1
2,4,2.7,NE,0,52.3
3,11,0.9,SSW,0,0.1
9,7,8.9,WSW,0,37.7
0,4,1.3,ESE,0,0
21,5,0,---,0,9.7
1,12,2.7,SSW,0,15.1
16,7,2.2,WNW,0,2.6
0,3,0.4,NNE,0,14.3
14,3,4.5,WSW,0,7.8
0,8,0,SSW,0,0.1
22,5,5.8,NNW,0,52.5
23,7,8.5,NNE,0,36.3
7,7,5.4,WSW,0,38.9
1,2,1.3,SSW,0,14.5
20,8,10.3,NW,0,29.7
5,8,2.7,SSW,0,45.7
12,11,2.7,WSW,0,0.3
7,8,1.3,NE,0,26
16,1,6.3,SW,0,42.1
12,8,14.3,WSW,0,44.8
17,1,5.8,WSW,0,24.4
2,4,0.4,NNE,0,5.4
21,6,0.4,E,0,5.5
15,4,4,NE,0,7.6
12,12,7.2,NNE,0,6.5
12,5,7.2,NE,0,8.3
17,1,6.7,SSW,0,42
20,5,2.7,NW,0,3.8
20,1,3.1,SSW,0,23.4
12,9,4,WSW,0,17.5
19,8,0.9,SW,0,4.7
2,7,1.8,N,0,28.1
7,8,7.6,N,0,44.3
12,2,2.2,W,0,0.4
0,9,0,SW,0,0.1
9,7,4,NNE,0,8.2
19,7,0.4,W,0,0.2
19,12,0.9,SW,0,7.2
12,7,3.6,WSW,0,10.6
2,2,2.7,SSW,0,25.7
4,2,0,ENE,0,0.4
1,2,0,NE,0,2.3
11,2,2.2,WNW,0,0
11,5,4.9,NNE,0,46.5
10,12,8.5,NNE,0,43.9
23,6,0.9,SE,0,0.2
15,7,7.2,W,0,29.7
5,4,1.3,WSW,0,5
7,9,0.4,SW,0,25.4
15,1,5.4,SSW,0,20.1
19,7,4.5,W,0,32.8
13,3,1.8,NNE,0,1.2
13,7,13.4,NNW,0,40.7
21,8,10.3,WSW,0,50.9
4,6,0.4,SE,0,0.1
21,4,0,SW,0,0
14,6,4.5,NNE,0,13.6
6,9,1.8,NE,0,-0.1
12,9,6.7,N,0,33.7
23,9,1.8,WSW,0,4.5
3,1,0,SW,0,2.5
6,6,0.4,SE,0,2.6
14,8,0.4,NE,0,0.1
15,7,4,SW,0,24.1
21,7,10.3,NNE,0,37.8
18,4,5.8,NE,0,35.5
20,12,1.3,SSW,0,23.6
17,10,7.6,NNW,0,38.9
23,9,0,SW,0,2.3
3,9,0.4,NNE,0,0
15,5,3.6,SW,0,7.7
16,9,1.3,WSW,0,0.4
11,11,9.8,W,0,47.9
21,5,0,NE,0,24.1
15,11,2.2,NE,0,0.5
21,7,0.9,SSW,0,10.8
6,11,1.3,S,0,10.8
12,3,4.5,WSW,0,31.7
23,11,0,WSW,0,-0.1
21,6,1.8,ENE,0,16.2
20,12,3.1,SW,0,26.9
6,1,0.4,WNW,0,0.1
5,3,0.4,NE,0,46.9
16,6,5.8,WNW,0,29.9
11,7,10.3,N,0,52.6
13,7,4.5,WSW,0,23
23,5,1.8,SSW,0,11.5
5,7,0.4,ENE,0,4.7
23,3,0,SSW,0,18.5
8,10,0.9,ENE,0,21.1
22,5,3.6,NE,0,0
2,3,0.4,E,0,5.4
6,6,0,NE,0,4.3
2,2,2.2,SSW,0,25.7
6,1,1.3,SSW,0,5.9
10,11,5.4,NE,0,4.2
22,7,1.8,NW,0,31.6
4,3,1.3,NE,0,4.5
21,11,0.9,E,0,39.2
1,3,0,WSW,0,0
0,4,4,NE,0,49.1
17,1,6.7,SW,0,40.5
19,10,0.9,SE,0,0.1
10,12,4.9,WSW,0,14.5
3,6,0.4,ENE,0,1
20,6,0,WNW,0,0
11,4,2.2,NE,0,0.2
1,6,0,NE,0,4.1
0,10,0.9,E,0,47.5
22,8,0.4,N,0,5.9
19,10,0.4,ESE,0,10.6
21,11,1.8,SSW,0,4.4
9,9,0.9,NE,0,0.1
22,1,0.4,NNE,0,3.3
4,12,0.4,SW,0,2.5
17,5,1.3,SSW,0,0.2
0,9,2.2,NE,0,35.2
5,6,2.2,ENE,0,12.8
8,10,8.5,W,0.2,42.5
2,3,0,SSE,0,0.4
14,12,4.5,SSW,0,29.7
20,8,6.3,W,0,52.3
10,8,4,SSW,0,23
0,2,2.2,NNE,0,17.5
5,2,3.1,NE,0,9.3
14,8,3.1,WSW,0,44.1
9,9,1.8,NNE,0,0.1
17,3,4.9,SW,0,47.8
14,8,2.7,NW,0,0.1
12,4,2.7,NNW,0,0
20,4,0.9,SSE,0,0
20,7,0.9,SSW,0,6
9,6,0.9,S,0,14
8,4,3.6,NNE,0,0
0,7,9.4,NNE,0,35.3
1,8,0.4,NE,0,0.1
18,8,6.3,N,0,37.8
12,2,3.1,WSW,0,0.1
19,12,1.3,ESE,0,28.3
13,7,1.3,SW,0,0
7,8,1.8,NNE,0,14.5
21,8,0,SSW,0,0
12,4,2.7,ENE,0,17.4
8,5,0.4,W,0,6.1
17,1,1.3,SE,0,1
17,2,6.3,W,0,47.6
6,2,0.4,NE,0,9.7
6,7,1.8,N,0,49.6
23,12,2.2,SSW,0,0.6
3,2,2.2,SE,0,51.3
8,7,0.9,NNE,0,24.7
0,2,0,---,0,0.3
16,2,4.9,SW,0,45.7
9,9,4,NNE,0,5.1
11,7,1.8,NW,0,50.1
11,7,2.2,ENE,0,7.6
23,10,0,NE,0,0
21,7,0,SSW,0,0.9
6,10,4.9,WSW,0,32.5
22,12,0.4,NE,0,15.7
10,3,1.8,ENE,0,14.1
16,4,3.1,SSW,0,3.7
3,2,6.3,WSW,0,43.2
22,9,5.4,NE,0,51.9
3,11,0.4,NE,0,25.5
21,2,0.4,E,0,0.1
20,6,0,ENE,0,0
8,4,3.6,NE,0,23.9
20,9,0,S,0,1.3
16,7,3.6,SW,0,22.7
12,3,4.9,WSW,0,18.1
5,5,1.8,WNW,0,15.8
1,7,1.8,NW,0,46.1
8,6,2.2,ENE,0,21.9
4,4,0,NW,0,0
10,2,4,NE,0,9.1
18,6,3.1,N,0,10.9
2,1,0,NE,0,6.8
12,7,2.7,N,0,0
1,2,0,---,0,1.8
9,5,1.3,NNW,0,3.6
7,5,1.3,SSW,0,1.7
22,1,2.2,SSW,0,25.9
17,6,3.6,NNE,0,6.7
11,3,2.2,NW,0,0.2
16,11,4.5,WNW,0,12
12,3,2.7,ENE,0,5.1
0,6,1.3,NE,0,16.6
16,12,4.5,SW,0,22.9
2,5,6.3,NE,0,33.5
6,8,9.8,WSW,0,38.7
3,7,0,ESE,0,23.7
2,11,1.8,NE,0,1.6
11,4,8.5,NNE,0,42.3
21,1,3.6,SSW,0,24.5
6,5,5.8,NE,0,41.2
23,11,0,N,0,0
21,10,0.4,NE,0,0
4,4,2.2,ESE,0,28.3
17,11,1.3,SE,0,20.9
18,7,9.8,NNE,0,36
1,7,0.4,ESE,0,28
14,10,5.4,SW,0,33.1
0,10,0.4,NE,0,0.8
17,10,1.3,NE,0,6.1
1,9,0.4,SW,0,29.5
5,12,3.6,NNE,0,13.9
23,7,0,W,0,4.8
1,9,7.2,WSW,0,50.9
22,6,0,---,0,4.7
11,4,4.9,NE,0,0.1
10,8,4.9,NW,0,24.9
4,10,0,NE,0,8.6
18,10,3.6,SSW,0,26.9
10,6,2.7,ENE,0,14.7
1,7,6.3,WSW,0,35.8
20,3,1.8,SW,0,15.9
1,10,0,NNE,0,0.1
2,4,0.9,N,0,11.9
11,1,2.7,SSW,0,0
12,6,6.3,NE,0,12.8
4,7,12.1,W,0,21.4
10,2,4,NE,0,0
8,9,5.4,WSW,0,24.7
13,7,0.9,SW,0,0
1,9,7.2,N,0,40.9
23,10,0,---,0,15.1
0,1,0,SSW,0,17.6
14,12,6.3,WNW,0,33.3
12,9,4,NNW,0,11.9
6,7,3.1,ENE,0,2.5
3,9,0,---,0,5.2
16,1,1.3,S,0,0.3
4,7,6.7,NNE,0,23.6
19,10,0,NE,0,5.4
1,1,0.4,SSW,0,0
7,7,0.4,WSW,0,3.5
11,1,3.6,NNE,0,0
11,4,6.3,NE,0,0
1,11,1.3,N,0,7.7
0,7,3.6,NE,0,38.8
17,8,4,N,0,21.4
0,1,3.1,NE,0,9.8
3,4,0.9,SE,0,3.3
12,8,11.6,W,0,23.4
15,5,4,W,0,11.8
8,9,1.3,ESE,0,13.8
9,12,4.9,NE,0,0.4
15,11,4,SW,0,14.2
6,8,1.8,NE,0,0
18,6,2.2,S,0,45.5
16,12,4,W,0,29
17,3,5.8,WSW,0,31.1
13,2,1.8,ESE,0,15
9,9,5.4,WNW,0,30.8
6,10,1.8,S,0,30
22,10,1.3,SSW,0,5.8
21,2,0.9,S,0,3.6
4,11,5.8,NE,0,28.9
2,12,4,ESE,0,50.8
0,8,3.1,NNE,0,18.8
22,4,0,---,0,0
11,8,14.3,NNE,0,48.4
21,7,0,SSW,0,7.9
1,9,0.9,SE,0,9.5
19,3,4,SW,0,9.1
20,7,0.4,SSW,0,7.3
18,4,4,SSW,0,23.6
9,9,4.9,WSW,0,16.1
14,3,4.5,WSW,0,23
19,7,7.2,NW,0,37.8
14,9,8,NNW,0,22.3
13,3,1.3,S,0,0.1
20,10,0.9,NE,0,7
2,4,5.8,WSW,0,27.8
20,7,1.3,WSW,0,0
20,9,1.3,ESE,0,35.2
19,5,1.3,W,0,0.2
13,7,1.8,N,0,38.5
4,5,0.9,NW,0,5.6
12,3,1.3,SW,0,7.5
3,12,0,NNW,0,6.5
0,7,0.9,ENE,0,0.2
17,7,8.9,WSW,0,45.3
7,8,0.9,S,0,18.3
21,11,1.3,SSW,0,12.7
0,7,0,WNW,0,0
18,6,0,WSW,0,9.7
7,5,4,NE,0,45.4
20,7,3.1,NNW,0,42
4,3,0.4,ENE,0,0
4,7,12.1,W,0,26.5
8,4,0,S,0,6.3
6,12,0.9,SSW,0,0.2
19,4,0.9,E,0,25.7
14,7,4.9,WSW,0,5.5
12,1,5.4,WSW,0,12.7
15,12,3.6,WSW,0,0
20,6,1.3,SSE,0,2
18,7,0.4,SW,0,0.8
8,4,6.7,NE,0,40.6
15,6,1.3,S,0,9.6
16,10,5.8,WNW,0,36.1
9,9,3.1,NE,0,7.4
1,10,4,WSW,0,19.7
5,11,0.4,NNE,0,1.6
23,5,3.1,W,0,33.6
8,3,2.7,NE,0,0.3
21,11,0,S,0,12.7
12,9,4,NNW,0,11.6
1,11,2.7,NE,0,0.1
17,1,5.4,SW,0,43.7
3,10,0,NE,0,0.1
3,2,3.1,WSW,0,40.1
13,12,4,WSW,0,12.8
19,5,2.2,NW,0,12.1
2,1,1.8,NNE,0,17.8
1,12,0.9,N,0,36.6
14,6,6.7,NE,0,8.8
11,10,5.4,WSW,0,20.8
22,2,2.7,SW,0,39.5
14,11,3.1,NW,0,0.8
16,1,6.3,W,0,34.9
12,4,4,NE,0,7.2
9,2,1.8,ESE,0,22.1
13,4,1.3,SSE,0,0.1
23,2,2.7,SW,0,50.5
0,1,0,SW,0,0.2
5,9,1.8,NE,0,2.6
9,8,3.1,WSW,0,16.2
23,6,0.4,SE,0,0
9,1,1.3,SE,0,12.8
9,4,8.5,N,0,50.7
9,2,3.1,NNE,0,7.9
19,2,0.4,ENE,0,34.2
20,5,0,---,0,0
13,8,11.6,NW,0,50.6
20,3,2.2,SW,0,16.4
13,6,4,WNW,0,25.9
10,3,6.3,NE,0,7.8
0,9,0.4,SE,0,15.7
13,5,2.7,NE,0,0.1
22,10,5.8,WSW,0,42
20,6,0,E,0,2.1
2,3,0.9,NE,0,0.1
8,8,1.3,NE,0,4.3
14,1,5.8,WNW,0,36.9
1,5,0.4,SW,0,4
10,7,1.8,NW,0,35.5
15,8,2.7,S,0,21.4
13,8,3.1,SW,0,0.2
4,10,1.8,NE,0,9.6
10,7,0.4,ESE,0,3.6
19,7,1.8,NW,0,18.8
14,4,1.8,WSW,0,0
2,5,1.3,NNW,0,7.2
22,12,4.5,SW,0,48.3
8,8,1.3,NE,0,0.1
17,4,5.4,NNE,0,6.3
22,2,0.4,SSW,0,6.8
1,9,0.9,ENE,0,22.2
5,6,0,W,0.4,46
3,4,1.3,NE,0,9.4
4,2,0,ESE,0,2
11,5,8,NE,0,9.7
9,11,1.3,ENE,0,0.1
1,4,2.2,SW,0,18.2
2,12,0.9,SW,0,18.7
15,2,0.9,SW,0,3.7
6,9,0,---,0,5.1
19,8,0.4,SSW,0,0.6
8,11,4.5,NNE,0,18.5
8,8,4,NE,0,34.6
18,8,3.1,WSW,0,19.9
8,8,3.1,WSW,0,0
23,7,0.9,WSW,0,31.6
7,3,0.9,WNW,0,8.3
19,4,2.2,S,0,34.1
3,2,0.4,NE,0,22.5
20,4,4,WSW,0,12.4
23,6,1.3,ENE,0,18.6
23,4,2.2,NE,0,44.8
0,12,0.9,SE,0,20.8
12,1,4,SW,0,22.4
20,9,0.4,E,0,9.6
4,10,0,SE,0,1.6
8,9,3.1,NE,0,5.3
18,12,7.6,NNW,0,30.5
7,10,8.9,W,0,46.5
3,12,7.6,NNE,0,44.9
5,8,8.5,WNW,0,52.5
14,8,3.1,WSW,0,0
18,8,5.8,W,0.2,43.1
0,1,0,WNW,0,1.5
2,12,0,SSW,0,0.2
14,5,4.9,NE,0,6
13,1,3.6,NW,0,5
23,10,6.3,SW,0,48.7
2,4,1.3,WSW,0,15
4,1,0,SE,0,5.6
22,12,3.1,ESE,0,50.2
18,11,7.2,WSW,0,48.3
10,6,3.1,NE,0,2.8
10,11,3.1,SSW,0,0.2
3,4,2.2,ESE,0,43.7
16,11,3.1,N,0,11.1
9,8,3.1,WSW,0,15.3
15,2,3.6,SSW,0,6.8
18,5,0.9,E,0,24.4
5,5,11.2,W,0,50.7
10,9,4.9,NE,0,5.6
5,3,1.3,SSW,0,25.3
12,8,3.1,WSW,0,0.1
12,2,2.2,SE,0,37.9
20,6,6.7,NE,0,34.7
0,11,1.3,SSW,0,9
8,1,1.3,NW,0,17
19,6,0,---,0,0
16,10,1.8,E,0,12.7
11,7,1.8,N,0,24.7
11,12,1.8,S,0,0.2
14,6,3.6,NW,0,16.9
21,12,0.4,ENE,0,27.3
10,4,4.5,WSW,0,1.1
1,9,0,NE,0,0.3
12,12,2.7,NNE,0,0.1
14,9,3.1,SW,0,13.6
0,7,1.3,SW,0,20.1
23,6,0.4,SSE,0,3.8
15,4,8,W,0,30.5
9,10,5.8,SSW,0,21.6
22,6,0,---,0,0.1
8,10,0.9,NW,0,8
4,1,1.3,NE,0,11
21,12,4.5,W,0,8.3
2,12,0,SSW,0,0.3
23,8,8.9,W,0,52.5
1,1,3.6,SE,0,10.4
16,7,11.2,WNW,0,38.7
1,1,4,NE,0,46.3
11,1,2.2,SSW,0,6.2
8,9,3.6,NE,0,1.7
6,9,2.7,NE,0,39.9
15,3,1.3,S,0,0
12,5,8.9,NW,0,50.7
5,9,0,N,0,3.7
20,2,1.8,SW,0,3.6
